sector,site_description_local,latitude,longitude,import,road
cameras_report_nwregion_foi,31708 M62 70/8A J21 J22 RAKEWOOD,53.6193,357.914,Y,M62 
cameras_report_nwregion_foi,31718 M62 71/8A J21 J22 BOOTH BR,53.6248,357.927,Y,M62 
cameras_report_nwregion_foi,31734 M62 73/4B J21 J22 STACKNG PT,53.6249,357.951,Y,M62 
cameras_report_nwregion_foi,31751 M62 75/1A J22 ROCKINGSTONE,53.6295,357.974,Y,M62 
cameras_report_nwregion_foi,32022 M61 2/2B J1 LN TUNNEL,53.5283,357.633,Y,M61 
cameras_report_nwregion_foi,32032 M61 3/2M J2 J4 K SPUR,53.5319,357.621,Y,M61 
cameras_report_nwregion_foi,32038 M61 3/8A J2 J4 RAILWAY BR,53.533,357.611,Y,M61 
cameras_report_nwregion_foi,32042 M61 4/2B J3 KEARSLEY,53.5369,357.607,Y,M61 
cameras_report_nwregion_foi,32053 M61 5/3A J3 J4 CLEGGS LANE,53.538,357.591,Y,M61 
cameras_report_nwregion_foi,32063 M61 6/3B J4   J3,53.5414,357.578,Y,M61 
cameras_report_nwregion_foi,32154 M61 15/4A J6 HORWICH,53.5748,357.453,Y,M61 
cameras_report_nwregion_foi,32186 M61 18/6A J BOLTON WEST SRVS,53.5978,357.428,Y,M61 
cameras_report_nwregion_foi,32276 M61 27/6A J8 CHORLEY NORTH,53.6702,357.374,Y,M61 
cameras_report_nwregion_foi,03233 M61 33/0B J9 M65 J2,53.7172,357.371,Y,M61 
cameras_report_nwregion_foi,03234 M61 34/0B BLACOW APPROACH,53.725,357.368,Y,M61 
cameras_report_nwregion_foi,32353 M61 35/3A M6 J30 BLACOW,53.7333,357.353,Y,M61 
cameras_report_nwregion_foi,33002 A556 BUCKLOW HILL,53.345,357.595,Y,A556 
cameras_report_nwregion_foi,34120 M66 12/0A J3 J4,53.5647,357.73,Y,M66 
cameras_report_nwregion_foi,34127 M66 12/7A J3 J4,53.5583,357.733,Y,M66 
cameras_report_nwregion_foi,35098 M56 9/8A J3 ROYAL THORN,53.398,357.732,Y,M56 
cameras_report_nwregion_foi,35206 M61 0/6K J1 M61 M60 INT,53.524,357.638,Y,M61 
cameras_report_nwregion_foi,35209 M61 0/9B J1 QW06   Gantry   K SPUR,53.527,357.638,Y,M61 
